WorkOrderNumber;DateCreated;DatePrinted;ProductNumber;ControlType;ControlPosition;StackPosition;HeadrailType;TrackWidthNumeric;TrackWidthFraction;LouverQty;FinalLouverLengthNumeric;FinalLouverLengthFraction;LouverComponentNumber;LouverComponentDesc;ValanceBaseWidthNumeric;ValanceBaseWidthFraction;ValanceInsert ComponentNumber;ValanceInsertComponentDesc
3298735.009;02/12/2020;12/31/1899;SSVT15         ;B;L;L;G71  ;96.25;96 1/4;31;92.5;92 1/2;68-3612-40     ;3.5X16 RAPTURE BLEACH -2;96.375;96 3/8;68-3612-40     ;3.5X16 RAPTURE BLEACH -2
3300260.001;02/12/2020;02/24/2020;GVT15          ;B;L;S;G85  ;106;106;34;91.5;91 1/2;68-9306-40     ;3.5X16CR DPLX WHT -2;106.25;106 1/4;68-9306-40     ;3.5X16CR DPLX WHT -2
3300260.005;02/12/2020;02/24/2020;GVT15          ;B;R;S;G85  ;106.25;106 1/4;36;92.5;92 1/2;68-9306-40     ;3.5X16CR DPLX WHT -2;106.5;106 1/2;68-9306-40     ;3.5X16CR DPLX WHT -2
3300260.007;02/12/2020;02/24/2020;GVT15          ;B;L;S;G85  ;106.25;106 1/4;36;92.5;92 1/2;68-9306-40     ;3.5X16CR DPLX WHT -2;106.5;106 1/2;68-9306-40     ;3.5X16CR DPLX WHT -2
3300260.011;02/12/2020;02/24/2020;GVT15          ;B;R;R;G85  ;70.25;70 1/4;23;91.5;91 1/2;68-9306-40     ;3.5X16CR DPLX WHT -2;70.5;70 1/2;68-9306-40     ;3.5X16CR DPLX WHT -2
3203123.999;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46;46;15;44.25;44 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.25;46 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
3203123.998;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46;46;15;44.25;44 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.25;46 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
3203123.997;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46.125;46 1/8;15;44.25;44 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.375;46 3/8;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
3203123.996;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46.25;46 1/4;15;44.25;44 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.5;46 1/2;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
3203123.995;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46.125;46 1/8;15;44.5;44 1/2;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.375;46 3/8;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
3203123.994;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46.125;46 1/8;15;44.5;44 1/2;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.375;46 3/8;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
